local,resultado,visitante,año
Francia,4:1,México,1930
Argentina,1:0,Francia,1930
Chile,3:0,México,1930
Chile,1:0,Francia,1930
Argentina,6:3,México,1930
Argentina,3:1,Chile,1930
Yugoslavia,2:1,Brasil,1930
Yugoslavia,4:0,Bolivia,1930
Brasil,4:0,Bolivia,1930
Rumania,3:1,Perú,1930
Uruguay,1:0,Perú,1930
Uruguay,4:0,Rumania,1930
Estados Unidos,3:0,Bélgica,1930
Estados Unidos,3:0,Paraguay,1930
Paraguay,1:0,Bélgica,1930
Argentina,6:1,Estados Unidos,1930
Uruguay,6:1,Yugoslavia,1930
Uruguay,4:2,Argentina,1930
Suecia,3:2,Argentina,1934
Alemania,5:2,Bélgica,1934
Suiza,3:2,Países Bajos,1934
Checoslovaquia,2:1,Rumania,1934
Hungría,4:2,Egipto,1934
Austria,3:2,Francia,1934
España,3:1,Brasil,1934
Italia,7:1,Estados Unidos,1934
Alemania,2:1,Suecia,1934
Checoslovaquia,3:2,Suiza,1934
Austria,2:1,Hungría,1934
Italia,1:1,España,1934
Italia,1:0,España,1934
Checoslovaquia,3:1,Alemania,1934
Italia,1:0,Austria,1934
Alemania,3:2,Austria,1934
Italia,2:1,Checoslovaquia,1934
Suiza,1:1,Alemania,1938
Francia,3:1,Bélgica,1938
Italia,2:1,Noruega,1938
Brasil,6:5,Polonia,1938
Checoslovaquia,3:0,Países Bajos,1938
Cuba,3:3,Rumania,1938
Hungría,6:0,Indias Orientales Neerlandesas,1938
Cuba,2:1,Rumania,1938
Suiza,4:2,Alemania,1938
Italia,3:1,Francia,1938
Brasil,1:1,Checoslovaquia,1938
Hungría,2:0,Suiza,1938
Suecia,8:0,Cuba,1938
Brasil,2:1,Checoslovaquia,1938
Hungría,5:1,Suecia,1938
Italia,2:1,Brasil,1938
Brasil,4:2,Suecia,1938
Italia,4:2,Hungría,1938
Brasil,4:0,México,1950
Yugoslavia,3:0,Suiza,1950
Brasil,2:2,Suiza,1950
Yugoslavia,4:1,México,1950
Brasil,2:0,Yugoslavia,1950
Suiza,2:1,México,1950
